function	1_demultiplex.bc1005--bc1101.hifi_reads	1_demultiplex.bc1007--bc1056.hifi_reads	1_demultiplex.bc1007--bc1096.hifi_reads	1_demultiplex.bc1008--bc1082.hifi_reads	1_demultiplex.bc1012--bc1065.hifi_reads	1_demultiplex.bc1015--bc1044.hifi_reads	1_demultiplex.bc1015--bc1082.hifi_reads	1_demultiplex.bc1020--bc1107.hifi_reads	1_demultiplex.bc1022--bc1059.hifi_reads	1_demultiplex.bc1024--bc1100.hifi_reads	2_demultiplex.bc1005--bc1083.hifi_reads	2_demultiplex.bc1007--bc1045.hifi_reads	2_demultiplex.bc1007--bc1075.hifi_reads	2_demultiplex.bc1008--bc1101.hifi_reads	2_demultiplex.bc1012--bc1101.hifi_reads	2_demultiplex.bc1015--bc1033.hifi_reads	2_demultiplex.bc1015--bc1060.hifi_reads	2_demultiplex.bc1020--bc1096.hifi_reads	2_demultiplex.bc1022--bc1056.hifi_reads	2_demultiplex.bc1024--bc1056.hifi_reads	3_demultiplex.bc1005--bc1035.hifi_reads	3_demultiplex.bc1005--bc1096.hifi_reads	3_demultiplex.bc1007--bc1035.hifi_reads	3_demultiplex.bc1007--bc1044.hifi_reads	3_demultiplex.bc1007--bc1056.hifi_reads	3_demultiplex.bc1007--bc1096.hifi_reads	3_demultiplex.bc1008--bc1035.hifi_reads	3_demultiplex.bc1008--bc1082.hifi_reads	3_demultiplex.bc1012--bc1035.hifi_reads	3_demultiplex.bc1012--bc1044.hifi_reads	3_demultiplex.bc1012--bc1065.hifi_reads	3_demultiplex.bc1012--bc1107.hifi_reads	3_demultiplex.bc1015--bc1035.hifi_reads	3_demultiplex.bc1015--bc1044.hifi_reads	3_demultiplex.bc1022--bc1035.hifi_reads	3_demultiplex.bc1022--bc1059.hifi_reads	3_demultiplex.bc1022--bc1100.hifi_reads	3_demultiplex.bc1024--bc1035.hifi_reads	3_demultiplex.bc1024--bc1089.hifi_reads	4_demultiplex.bc1005--bc1060.hifi_reads	4_demultiplex.bc1007--bc1096.hifi_reads	4_demultiplex.bc1008--bc1096.hifi_reads	4_demultiplex.bc1012--bc1096.hifi_reads	4_demultiplex.bc1015--bc1044.hifi_reads	4_demultiplex.bc1015--bc1082.hifi_reads	4_demultiplex.bc1015--bc1096.hifi_reads	4_demultiplex.bc1020--bc1065.hifi_reads	4_demultiplex.bc1020--bc1096.hifi_reads	4_demultiplex.bc1024--bc1044.hifi_reads
TDPFUCACTRANS-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TEICHOICSYN2-RXN	6.0	0.0	9.0	0.0	86.0	0.0	27.33	44.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	45.0	7.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	33.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0
TEICHOICSYN4-RXN	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TETHYDPICSUCC-RXN	21.0	22.0	43.0	7.0	0.0	4.0	0.0	0.0	0.0	32.0	11.0	9.0	0.0	5.0	104.0	0.0	8.0	3.0	28.0	16.0	16.0	7.0	23.0	28.0	36.0	250.0	0.0	0.0	6.0	20.0	62.0	50.0	0.0	6.0	26.0	134.0	9.0	30.5	5.0	155.0	180.0	32.0	132.0	37.0	17.0	59.0	20.0	128.0	13.0
TETRAACYLDISACC4KIN-RXN	15.0	28.0	43.0	0.0	31.75	9.0	1.33	17.0	0.0	32.0	6.0	9.0	0.0	0.0	112.5	1.0	8.0	3.0	58.0	0.0	31.0	7.0	11.0	28.0	83.0	250.0	0.0	0.0	13.0	20.0	70.0	50.0	14.0	7.5	18.0	152.0	17.0	30.5	1.0	120.0	112.0	28.0	149.0	37.0	37.0	49.0	22.0	172.0	17.0
THI-P-KIN-RXN	21.0	28.0	52.0	7.0	45.75	9.0	27.33	27.0	0.0	32.0	6.0	9.0	0.0	5.0	125.5	1.0	8.0	3.0	58.0	61.0	34.0	17.0	23.0	28.0	83.0	250.0	0.0	0.0	13.0	20.0	70.0	50.0	14.0	7.5	26.0	152.0	17.0	30.5	5.0	155.0	180.0	28.0	169.0	37.0	32.0	59.0	22.0	172.0	17.0
THI-P-SYN-RXN	42.0	56.0	95.0	0.0	103.25	18.0	27.33	44.0	0.0	64.0	12.0	18.0	0.0	5.0	236.0	1.0	0.0	6.0	116.0	61.0	59.0	20.0	34.0	56.0	125.0	391.0	0.0	0.0	19.0	40.0	140.0	100.0	28.0	13.5	38.0	286.0	26.0	54.5	6.0	206.0	272.0	52.0	306.0	59.0	54.0	98.0	42.0	300.0	34.0
THIAMIN-PYROPHOSPHOKINASE-RXN	0.0	0.0	0.0	0.0	52.75	0.0	0.0	17.0	0.0	0.0	5.0	0.0	0.0	5.0	21.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	5.0	0.0	0.0	0.0	0.0
THIAMINASE-RXN	0.0	6.0	9.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	6.0	45.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	35.0	23.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0
THIAZOLSYN2-RXN	21.0	34.0	61.0	0.0	74.75	9.0	27.33	27.0	0.0	32.0	6.0	9.0	0.0	0.0	124.0	1.0	0.0	3.0	58.0	106.0	43.0	17.0	23.0	28.0	83.0	250.0	0.0	0.0	13.0	20.0	70.0	50.0	14.0	7.5	20.0	152.0	17.0	30.5	5.0	108.0	170.0	28.0	169.0	37.0	37.0	49.0	22.0	172.0	17.0
THIAZOLSYN3-RXN	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5	1.0	0.0	11.0	0.0	7.0	0.0	0.0	0.0	0.0	31.0	0.0
THIKIN-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
