max_depth,eta,subsample,colsample_bytree,min_child_weight,gamma,logloss,accuracy,best_iteration
3,0.05,0.5,0.2,10,0,0.6931471824645996,0.33333333291007683,1
6,0.2,0.5,0.2,10,0,0.6931471824645996,0.33333333291007683,1
3,0.01,0.5,0.05,10,5,0.6931471824645996,0.33333333291007683,1
6,0.01,0.7,0.01,10,5,0.6931471824645996,0.33333333291007683,1
8,0.1,0.7,0.1,10,1,0.6931471824645996,0.33333333291007683,1
3,0.1,0.7,0.05,10,0,0.6931471824645996,0.33333333291007683,1
6,0.2,0.5,0.1,10,1,0.6931471824645996,0.33333333291007683,1
8,0.2,0.5,0.05,10,1,0.6931471824645996,0.33333333291007683,1
4,0.05,0.9,0.01,10,0,0.6931471824645996,0.33333333291007683,1
3,0.01,0.9,0.01,10,1,0.69314773877461755,0.3333332092856399,1
8,0.01,0.9,0.01,10,1,0.693148401736525,0.3333330619608153,3
3,0.01,0.7,0.05,1,5,0.6931601850501387,0.3333304434528873,2
8,0.1,0.9,0.2,5,1,0.693174733787044,0.3333272104220961,1
8,0.01,0.5,0.2,1,0,0.6931886382261224,0.33332412058228517,7
6,0.01,0.7,0.1,5,0,0.6932405942532236,0.3333125750580267,1
4,0.01,0.7,0.05,1,5,0.6932517914544969,0.3333100868732041,1
8,0.01,0.7,0.2,1,1,0.6932847034535539,0.333302773390806,3
3,0.2,0.5,0.01,5,0,0.6932868469845165,0.3333022970725997,2
6,0.1,0.7,0.2,5,5,0.6933109546980645,0.33329694007387844,1
4,0.01,0.9,0.2,1,5,0.6933625691380851,0.33328547092321226,1
3,0.01,0.5,0.1,5,1,0.6933800350191961,0.3332815899062927,1
4,0.01,0.5,0.05,5,0,0.6934185319648677,0.3332730357484707,1
6,0.2,0.9,0.2,5,5,0.6934289516824664,0.33327072046915907,1
3,0.05,0.7,0.01,5,0,0.6934433967778177,0.33326751075723987,1
3,0.05,0.7,0.05,1,0,0.6934510158511983,0.33326581779917464,2
8,0.01,0.7,0.01,1,0,0.6935072264286003,0.3332533279420983,1
8,0.2,0.5,0.2,1,5,0.6935511417848207,0.3332435702169403,20
4,0.05,0.9,0.2,10,5,0.6935572167495628,0.33324222040796103,2
3,0.05,0.5,0.2,5,0,0.693619443869694,0.333228394192935,1
3,0.2,0.9,0.01,1,1,0.6936434012384813,0.333223071192758,1
8,0.05,0.9,0.2,1,5,0.6937420637834639,0.33320115017092944,1
6,0.01,0.9,0.2,1,5,0.6937670088433601,0.33319560794688774,1
6,0.05,0.7,0.2,1,5,0.6937873372095832,0.333191091481116,1
4,0.05,0.5,0.1,5,1,0.6938948568069574,0.33316720376581394,2
6,0.05,0.7,0.1,5,1,0.6939610698264399,0.33315249359246,1
3,0.1,0.5,0.05,1,1,0.6941264411071678,0.33311575540669547,2
4,0.05,0.7,0.2,5,0,0.6942688954340948,0.33308410998035576,1
3,0.1,0.7,0.1,5,1,0.694283787736301,0.33308080182618366,1
8,0.1,0.7,0.1,5,1,0.6943552308268361,0.3330649317915362,3
6,0.2,0.5,0.01,5,0,0.6943889188043999,0.3330574486327788,1
3,0.05,0.9,0.2,5,0,0.694542443081414,0.3330233471308733,1
4,0.1,0.7,0.05,5,1,0.6945698541222196,0.3330172586513215,1
6,0.05,0.5,0.05,5,1,0.6945954218915359,0.3330115796453821,1
6,0.2,0.7,0.2,1,5,0.694608330640614,0.333008712426472,2
6,0.05,0.9,0.1,1,5,0.694637428028415,0.3330022495233042,1
4,0.1,0.9,0.05,1,5,0.6948304322976915,0.3329593823888356,1
4,0.05,0.5,0.05,5,5,0.6948624042549518,0.33295228153715334,1
8,0.1,0.9,0.2,1,0,0.6949001797521958,0.33294389183877826,1
4,0.05,0.5,0.1,5,5,0.6951257193415368,0.3328938031298434,1
4,0.1,0.5,0.05,5,5,0.6952096563999098,0.3328751630255092,1
8,0.2,0.5,0.05,5,0,0.695314652432955,0.33285184704027443,1
8,0.2,0.9,0.1,5,0,0.6958629448950548,0.3327301035568261,1
6,0.1,0.7,0.01,1,5,0.69590476692841,0.3327208182612437,1
4,0.2,0.9,0.01,1,0,0.6970613804816512,0.3324640793106647,15
8,0.1,0.7,0.05,5,0,0.6982681489352024,0.33219631328646776,1
6,0.2,0.9,0.2,1,0,0.6984407850588211,0.33215801646638715,1
4,0.2,0.9,0.2,1,5,0.6998635241479585,0.33184248697963364,1
6,0.2,0.5,0.2,1,0,0.7003923956879977,0.33172523439872853,1
6,0.2,0.9,0.1,1,1,0.7004465927809348,0.33171321990145514,1
8,0.2,0.9,0.05,1,0,0.7013025696229453,0.3315234946734776,1
6,0.2,0.7,0.01,1,1,0.7032637482597714,0.33108901045975675,2
8,0.2,0.7,0.2,1,5,0.7073249507260013,0.3301901975002001,1
