"","num.trees","mtry","min.node.size","sample.fraction","mean_accuracy","sd_accuracy","min_accuracy","max_accuracy"
"47",1000,100,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"48",2000,100,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"49",500,200,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"50",1000,200,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"51",2000,200,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"52",500,500,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"53",1000,500,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"54",2000,500,5,0.632,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"55",500,20,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"56",1000,20,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"57",2000,20,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"58",500,40,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"59",1000,40,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"60",2000,40,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"61",500,60,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"62",1000,60,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"63",2000,60,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"64",500,100,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"65",1000,100,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"66",2000,100,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"67",500,200,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"68",1000,200,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
"69",2000,200,1,0.8,0.554029304029304,0.0217285906917668,0.538461538461538,0.583333333333333
